model_id,point_type,threshold,fpr_target,benign_fp,benign_support,benign_fpr,owltron_interaction_fp,owltron_interaction_support,owltron_interaction_fpr,profiling_idle_fp,profiling_idle_support,profiling_idle_fpr,owltron_power_fp,owltron_power_support,owltron_power_fpr,ddos_tcp_tp,ddos_tcp_support,ddos_tcp_recall,dos_tcp_tp,dos_tcp_support,dos_tcp_recall,mqtt_publish_tp,mqtt_publish_support,mqtt_publish_recall,recon_os_scan_tp,recon_os_scan_support,recon_os_scan_recall,macro_attack_group_recall,min_attack_group_recall,macro_benign_pcap_fpr,target_reached
hgb_22,fixed_threshold,0.5,,5295,22504,0.23529150373266974,5193,9315,0.557487922705314,96,13149,0.00730093543235227,6,40,0.15,3213836,3216597,0.9991416394406885,1519443,1520960,0.9990026036187671,176596,177263,0.9962372294274608,6089,6736,0.9039489311163895,0.9745826009008265,0.9039489311163895,0.4497893048185707,
hgb_22,fixed_threshold,0.75,,3827,22504,0.17005865623889085,3811,9315,0.4091250670960816,14,13149,0.0010647197505513728,2,40,0.05,3213280,3216597,0.9989687859560896,1518827,1520960,0.9985975962549969,176362,177263,0.994917156992717,5995,6736,0.8899940617577197,0.9706194002403807,0.8899940617577197,0.3287087089272819,
hgb_22,fixed_threshold,0.85,,3023,22504,0.13433167436900106,3014,9315,0.32356414385399895,8,13149,0.0006084112860293558,1,40,0.025,3213028,3216597,0.9988904422904081,1518591,1520960,0.9984424310961498,176261,177263,0.9943473821384046,5945,6736,0.8825712589073634,0.9685628786080815,0.8825712589073634,0.25825135122736836,
hgb_22,fixed_threshold,0.9,,2818,22504,0.12522218272307145,2810,9315,0.3016639828234031,7,13149,0.0005323598752756864,1,40,0.025,3212696,3216597,0.9987872276197485,1518205,1520960,0.9981886440143067,176165,177263,0.9938058139600481,5910,6736,0.877375296912114,0.9670392456265544,0.877375296912114,0.24370322307903022,
hgb_22,fixed_threshold,0.925,,2126,22504,0.09447209384998223,2121,9315,0.22769726247987118,5,13149,0.0003802570537683474,0,40,0.0,3212472,3216597,0.9987175888058094,1517829,1520960,0.9979414317273301,176083,177263,0.9933432244743686,5885,6736,0.8736638954869359,0.965916535123611,0.8736638954869359,0.18906393150918932,
hgb_22,fixed_threshold,0.94,,26,22504,0.0011553501599715606,21,9315,0.0022544283413848632,5,13149,0.0003802570537683474,0,40,0.0,3212165,3216597,0.9986221463242053,1517373,1520960,0.9976416210814223,176034,177263,0.9930667990499992,5865,6736,0.8706947743467933,0.965006335200605,0.8706947743467933,0.0015418366969711466,
hgb_22,fixed_threshold,0.95,,19,22504,0.000844294347671525,15,9315,0.001610305958132045,4,13149,0.0003042056430146779,0,40,0.0,3211925,3216597,0.9985475333092706,1516929,1520960,0.9973497001893541,176001,177263,0.9928806349886892,5853,6736,0.8689133016627079,0.9644227925375054,0.8689133016627079,0.001134577468455813,
hgb_22,fixed_threshold,0.97,,10,22504,0.00044436544614290794,6,9315,0.0006441223832528181,4,13149,0.0003042056430146779,0,40,0.0,3211515,3216597,0.9984200694087572,1516458,1520960,0.9970400273511466,175930,177263,0.992480100190113,5820,6736,0.8640142517814727,0.9629886121828723,0.8640142517814727,0.00047971564951076654,
hgb_22,fixed_threshold,0.98,,3,22504,0.0001333096338428724,1,9315,0.00010735373054213633,2,13149,0.00015210282150733895,0,40,0.0,3211087,3216597,0.9982870095321236,1516256,1520960,0.9969072164948454,175651,177263,0.9909061676717645,5800,6736,0.8610451306413301,0.9617863810850159,0.8610451306413301,9.697643096512474e-05,
hgb_22,fixed_threshold,0.99,,2,22504,8.887308922858158e-05,0,9315,0.0,2,13149,0.00015210282150733895,0,40,0.0,3209699,3216597,0.997855497595751,1514886,1520960,0.9960064695981485,175260,177263,0.9887004056120002,5766,6736,0.8559976247030879,0.9596399993772469,0.8559976247030879,1.5210282150733895e-05,
hgb_22,fixed_threshold,0.995,,2,22504,8.887308922858158e-05,0,9315,0.0,2,13149,0.00015210282150733895,0,40,0.0,3207453,3216597,0.9971572441309868,1513997,1520960,0.9954219703345255,172498,177263,0.9731190378138698,5727,6736,0.85020783847981,0.953976522689798,0.85020783847981,1.5210282150733895e-05,
xgboost_22,fixed_threshold,0.5,,4745,22504,0.2108514041948098,4638,9315,0.49790660225442834,85,13149,0.006464369914061906,22,40,0.55,3213856,3216597,0.999147857191933,1519398,1520960,0.9989730170418682,176477,177263,0.9955659105397066,6091,6736,0.9042458432304038,0.9744831570009779,0.9042458432304038,0.45290843950892795,
xgboost_22,fixed_threshold,0.75,,4203,22504,0.1867667970138642,4173,9315,0.44798711755233495,16,13149,0.0012168225720587116,14,40,0.35,3213294,3216597,0.9989731383819608,1518786,1520960,0.9985706395960446,176323,177263,0.9946971449202597,6001,6736,0.8908847980997625,0.9707814302495069,0.8908847980997625,0.3940958548886122,
