model_id,point_type,threshold,fpr_target,benign_fp,benign_support,benign_fpr,owltron_interaction_fp,owltron_interaction_support,owltron_interaction_fpr,profiling_idle_fp,profiling_idle_support,profiling_idle_fpr,owltron_power_fp,owltron_power_support,owltron_power_fpr,ddos_tcp_tp,ddos_tcp_support,ddos_tcp_recall,dos_tcp_tp,dos_tcp_support,dos_tcp_recall,mqtt_publish_tp,mqtt_publish_support,mqtt_publish_recall,recon_os_scan_tp,recon_os_scan_support,recon_os_scan_recall,macro_attack_group_recall,min_attack_group_recall
A_27_unweighted,fpr_target,0.8866444230079651,0.1,2229,22504,0.09904905794525418,2222,9315,0.23853998926462694,7,13149,0.0005323598752756864,0,40,0.0,3212609,3216597,0.9987601804018346,1518096,1520960,0.998116978750263,176075,177263,0.9932980937928388,5877,6736,0.8724762470308789,0.9656628749939538,0.8724762470308789
A_27_unweighted,fpr_target,0.8994555473327637,0.05,1124,22504,0.04994667614646285,1119,9315,0.12012882447665056,5,13149,0.0003802570537683474,0,40,0.0,3212531,3216597,0.9987359311719808,1518000,1520960,0.9980538607195456,175966,177263,0.9926831882569966,5867,6736,0.8709916864608076,0.9651161666523327,0.8709916864608076
A_27_unweighted,fpr_target,0.9312053918838501,0.02,437,22504,0.019418769996445078,434,9315,0.04659151905528717,3,13149,0.00022815423226100844,0,40,0.0,3212328,3216597,0.9986728209968485,1517735,1520960,0.997879628655586,175435,177263,0.9896876392704625,5820,6736,0.8640142517814727,0.9625635851760924,0.8640142517814727
A_27_unweighted,fpr_target,0.9358900785446167,0.01,211,22504,0.009376110913615357,208,9315,0.022329575952764358,3,13149,0.00022815423226100844,0,40,0.0,3212298,3216597,0.9986634943699817,1517698,1520960,0.9978553019145803,175352,177263,0.9892194084495919,5815,6736,0.8632719714964371,0.9622525440576477,0.8632719714964371
A_27_unweighted,fpr_target,0.9389187097549438,0.005,76,22504,0.0033771773906861,73,9315,0.007836822329575954,3,13149,0.00022815423226100844,0,40,0.0,3212282,3216597,0.998658520168986,1517681,1520960,0.9978441247633074,175296,177263,0.988903493678884,5813,6736,0.8629750593824228,0.9620952994984,0.8629750593824228
A_27_unweighted,fpr_target,0.9494479298591614,0.001,23,22504,0.0010220405261286882,20,9315,0.0021470746108427268,3,13149,0.00022815423226100844,0,40,0.0,3212221,3216597,0.9986395560276902,1517566,1520960,0.9977685146223438,174830,177263,0.9862746314797787,5801,6736,0.8611935866983373,0.9609690722070374,0.8611935866983373
