model_id,fpr_target,target_reached,threshold,benign_fp,benign_support,benign_fpr,ddos_tcp_recall,dos_tcp_recall,mqtt_publish_recall,recon_os_scan_recall,macro_attack_group_recall,min_attack_group_recall,owltron_interaction_fpr,profiling_idle_fpr,owltron_power_fpr,macro_benign_pcap_fpr
hgb,0.01,True,0.9358900785446167,211,22504,0.009376110913615357,0.9986634943699817,0.9978553019145803,0.9892194084495919,0.8632719714964371,0.9622525440576477,0.8632719714964371,0.022329575952764358,0.00022815423226100844,0.0,0.01504965417822653
hgb,0.005,True,0.9389187097549438,76,22504,0.0033771773906861,0.998658520168986,0.9978441247633074,0.988903493678884,0.8629750593824228,0.9620952994984,0.8629750593824228,0.007836822329575954,0.00022815423226100844,0.0,0.005311878738414524
hgb,0.0025,False,0.9416398406028748,57,22504,0.002532883043014575,0.9986523024177415,0.9978296602146013,0.9878654880037007,0.8628266033254157,0.9617935134903648,0.8628266033254157,0.005797101449275362,0.00022815423226100844,0.0,0.004026181701532548
hgb,0.001,False,0.9494479298591614,23,22504,0.0010220405261286882,0.9986395560276902,0.9977685146223438,0.9862746314797787,0.8611935866983373,0.9609690722070374,0.8611935866983373,0.0021470746108427268,0.00022815423226100844,0.0,0.0017243463160274194
hgb,0.0005,False,0.9643503427505493,12,22504,0.0005332385353714896,0.9986003841948494,0.9975712707763518,0.9793414305297777,0.8579275534441805,0.9583601597362899,0.8579275534441805,0.000966183574879227,0.00022815423226100844,0.0,0.000684951809943852
adaboost,0.01,True,0.5448256134986877,202,22504,0.00897618201208674,0.998850648682443,0.9979716757837156,0.9707722423743251,0.8447149643705463,0.9530773828027576,0.8447149643705463,0.009447128287707997,0.008517758004410982,0.05,0.015981629554199024
adaboost,0.005,True,0.563359797000885,89,22504,0.003954852470671881,0.998815207500349,0.9978290027351147,0.7244489825851983,0.8383313539192399,0.8898561366849754,0.7244489825851983,0.00762211486849168,0.0013689253935660506,0.0,0.009090682297367014
adaboost,0.0025,True,0.5652185678482056,43,22504,0.0019107714184145041,0.9988120986247266,0.9978270302966548,0.7240428064514309,0.8383313539192399,0.8897533223230131,0.7240428064514309,0.0026838432635534087,0.0013689253935660506,0.0,0.0018852706870043155
adaboost,0.001,False,0.5766248106956482,23,22504,0.0010220405261286882,0.9987667090406414,0.9976889596044604,0.5963060537167937,0.8297209026128266,0.8556206562436804,0.5963060537167937,0.0010735373054213634,0.0009886683397977033,0.0,0.0007803330050067507
adaboost,0.0005,True,0.6052549481391907,9,22504,0.00039992890152861714,0.9985186207659834,0.9968723700820534,0.0011733977197723158,0.8202197149643705,0.704196025883045,0.0011733977197723158,0.00021470746108427267,0.0005323598752756864,0.0,0.0001889732406281658
random_forest,0.01,False,1.0,246,22504,0.010931389975115535,0.7149770393990916,0.811906296023564,0.39264821197881117,0.7715261282660333,0.6727644189168751,0.39264821197881117,0.02640901771336554,0.0,0.0,0.018955539858839392
random_forest,0.005,False,1.0,246,22504,0.010931389975115535,0.7149770393990916,0.811906296023564,0.39264821197881117,0.7715261282660333,0.6727644189168751,0.39264821197881117,0.02640901771336554,0.0,0.0,0.018955539858839392
random_forest,0.0025,False,1.0,246,22504,0.010931389975115535,0.7149770393990916,0.811906296023564,0.39264821197881117,0.7715261282660333,0.6727644189168751,0.39264821197881117,0.02640901771336554,0.0,0.0,0.018955539858839392
random_forest,0.001,False,1.0,246,22504,0.010931389975115535,0.7149770393990916,0.811906296023564,0.39264821197881117,0.7715261282660333,0.6727644189168751,0.39264821197881117,0.02640901771336554,0.0,0.0,0.018955539858839392
random_forest,0.0005,False,1.0,246,22504,0.010931389975115535,0.7149770393990916,0.811906296023564,0.39264821197881117,0.7715261282660333,0.6727644189168751,0.39264821197881117,0.02640901771336554,0.0,0.0,0.018955539858839392
extratrees,0.01,False,1.0,459,22504,0.020396373977959473,0.8877944610406588,0.88577411634757,0.38620580719044584,0.8119061757719715,0.7429201400876616,0.38620580719044584,0.04927536231884058,0.0,0.0,0.03588849147682825
extratrees,0.005,False,1.0,459,22504,0.020396373977959473,0.8877944610406588,0.88577411634757,0.38620580719044584,0.8119061757719715,0.7429201400876616,0.38620580719044584,0.04927536231884058,0.0,0.0,0.03588849147682825
extratrees,0.0025,False,1.0,459,22504,0.020396373977959473,0.8877944610406588,0.88577411634757,0.38620580719044584,0.8119061757719715,0.7429201400876616,0.38620580719044584,0.04927536231884058,0.0,0.0,0.03588849147682825
extratrees,0.001,False,1.0,459,22504,0.020396373977959473,0.8877944610406588,0.88577411634757,0.38620580719044584,0.8119061757719715,0.7429201400876616,0.38620580719044584,0.04927536231884058,0.0,0.0,0.03588849147682825
extratrees,0.0005,False,1.0,459,22504,0.020396373977959473,0.8877944610406588,0.88577411634757,0.38620580719044584,0.8119061757719715,0.7429201400876616,0.38620580719044584,0.04927536231884058,0.0,0.0,0.03588849147682825
